communityName,state,population,householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,medIncome,perCapInc,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctUnemployed,PctEmploy,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,ViolentCrimesPerPop,nonViolPerPop
BerkeleyHeightstownship,NJ,11980,3.1,12.47,21.44,10.93,11.33,75122,29711,227,1.96,5.81,2.7,64.55,0,0,0,0,1,8.2,4,32.81,14,114.85,41.02,1394.59
Marpletownship,PA,23123,2.82,11.01,21.3,10.48,17.18,47917,20148,885,3.98,5.61,2.43,61.96,0,0,1,4.25,5,21.26,24,102.05,57,242.37,127.56,1955.95
Tigardcity,OR,29344,2.43,11.36,25.88,11.01,10.28,35669,16946,1389,4.75,2.8,4.01,69.8,3,8.3,6,16.6,56,154.95,14,38.74,274,758.14,218.59,6167.51
Gloversvillecity,NY,16656,2.4,12.55,25.2,12.19,17.57,20580,10810,2831,17.23,11.05,9.86,54.74,0,0,10,57.86,10,57.86,33,190.93,225,1301.78,306.64,
Bemidjicity,MN,11245,2.76,24.46,40.53,28.69,12.65,17390,8483,2855,29.99,12.15,9.08,52.44,0,0,,,4,32.04,14,112.14,91,728.93,,9988.79
Springfieldcity,MO,140494,2.45,18.09,32.89,20.04,13.26,21577,11878,23223,17.78,8.76,5.72,59.02,7,4.63,77,50.98,136,90.05,449,297.29,2094,1386.46,442.95,6867.42
Norwoodtown,MA,28700,2.6,11.17,27.41,12.76,14.42,42805,18193,1126,4.01,4.49,4.85,65.42,0,0,4,13.53,9,30.44,54,182.66,110,372.09,226.63,1890.88
Andersoncity,IN,59459,2.45,15.31,27.93,14.78,14.6,23221,12161,10320,17.98,10.09,8.19,56.59,8,13.13,34,55.79,98,160.8,128,210.02,608,997.6,439.73,4909.26
Fargocity,ND,74111,2.46,16.64,35.16,20.33,8.58,25326,13554,9603,13.68,5.52,4.18,68.51,0,0,35,43.87,16,20.05,41,51.39,425,532.66,115.31,4747.58
Wacocity,TX,103590,2.62,19.88,34.55,21.62,13.12,17852,10195,27767,28.68,13.01,8.39,51.37,29,26.88,141,130.69,453,419.89,1043,966.77,2397,2221.81,1544.24,8903.93
Shermancity,TX,31601,2.54,15.73,28.57,15.16,14.26,24763,12929,4698,15.61,9.07,7.19,57.76,1,3.11,29,90.25,71,220.96,131,407.69,468,1456.49,722.02,7599.9
