Price,Area,Location,No_of_Bedrooms
6528000,1450,5th Stage BEML Layout,3
8120000,1500,5th Stage BEML Layout,3
2800000,1400,5th Stage BEML Layout,3
10000000,1500,5th Stage BEML Layout,3
5661000,1500,5th Stage Raja Rajeshwari Nagar,3
8400000,1105,5th Stage Raja Rajeshwari Nagar,2
5160000,1360,5th Stage Raja Rajeshwari Nagar,3
2288000,1400,5th Stage Raja Rajeshwari Nagar,3
4133000,1105,5th Stage Raja Rajeshwari Nagar,2
7840000,1500,6th phase jp nagar,3
18700000,1500,7th Phase JP Nagar,3
4900000,1150,8th Phase JP Nagar,2
2288000,1050,8th Phase JP Nagar,2
7900000,1111,8th Phase JP Nagar,2
9318000,1111,8th Phase JP Nagar,2
3800000,1111,8th Phase JP Nagar,2
4864000,1111,8th Phase JP Nagar,2
8400000,1023,8th Phase JP Nagar,2
11000000,1414,8th Phase JP Nagar,3
4000000,910,Abbigere,2
4000000,910,Abbigere,2
4000000,940,Abbigere,2
3800000,940,Abbigere,2
3100000,940,Abbigere,2
3100000,910,Abbigere,2
3100000,910,Abbigere,2
3100000,940,Abbigere,2
4833000,910,Abbigere,2
3800000,910,Abbigere,2
4000000,940,Abbigere,2
4860000,940,Abbigere,2
4000000,940,Abbigere,2
2851000,910,Abbigere,2
3180000,910,Abbigere,2
6200000,940,Abbigere,2
4300000,940,Abbigere,2
6528000,910,Abbigere,2
6100000,940,Abbigere,2
5000000,910,Abbigere,2
18900000,988,Adugodi,1
22599999,1860,Adugodi,3
9000000,1495,Adugodi,2
9000000,1083,Adugodi,2
80000000,1305,Adugodi,2
23000000,1460,Adugodi,2
4060000,1860,Adugodi,3
4600000,1945,Adugodi,3
14300000,988,Adugodi,1
13799999,1445,Adugodi,2
3744000,1915,Adugodi,3
4304000,1083,Adugodi,2
3232000,1127,Adugodi,2
5500000,1175,AECS Layout A Block Singasandra,2
8400000,1160,AECS Layout A Block Singasandra,2
4720000,1310,AECS Layout A Block Singasandra,3
9200000,1080,AGS Layout Arehalli,2
7208000,1040,AGS Layout Arehalli,2
3180000,1110,AGS Layout Arehalli,2
8120000,1300,AGS Layout Arehalli,3
6400000,1110,AGS Layout Arehalli,2
29300000,1110,AGS Layout Arehalli,2
5360000,1380,Akshayanagar,2
6709999,1375,Akshayanagar,3
2800000,1000,Akshayanagar,2
3400000,1000,Akshayanagar,2
3265000,1000,Akshayanagar,2
6174000,1045,Akshayanagar,2
5883000,1000,Akshayanagar,2
7208000,874,Akshayanagar,2
5599000,1120,Amruthahalli,2
7837000,1866,Anagalapura Near Hennur Main Road,3
9834000,2235,Anagalapura Near Hennur Main Road,3
8298999,1976,Anagalapura Near Hennur Main Road,3
8728000,2182,Anagalapura Near Hennur Main Road,3
5797000,1414,Anagalapura Near Hennur Main Road,3
4400000,1000,Anagalapura Near Hennur Main Road,2
4455000,1100,Anagalapura Near Hennur Main Road,2
4100000,1000,Anagalapura Near Hennur Main Road,2
4489000,1095,Anagalapura Near Hennur Main Road,2
4407000,1075,Anagalapura Near Hennur Main Road,2
4407000,1075,Anagalapura Near Hennur Main Road,2
4325000,1055,Anagalapura Near Hennur Main Road,2
4489000,1095,Anagalapura Near Hennur Main Road,2
5700000,1414,Anagalapura Near Hennur Main Road,2
5797000,1414,Anagalapura Near Hennur Main Road,3
4272000,1000,Anagalapura Near Hennur Main Road,2
4272000,1055,Anagalapura Near Hennur Main Road,2
4100000,1000,Anagalapura Near Hennur Main Road,2
4489000,1095,Anagalapura Near Hennur Main Road,2
4489000,1095,Anagalapura Near Hennur Main Road,2
4455000,1100,Anagalapura Near Hennur Main Road,2
4407000,1075,Anagalapura Near Hennur Main Road,2
4455000,1100,Anagalapura Near Hennur Main Road,2
4455000,1100,Anagalapura Near Hennur Main Road,2
4407000,1075,Anagalapura Near Hennur Main Road,2
4407000,1075,Anagalapura Near Hennur Main Road,2
3911000,954,Anagalapura Near Hennur Main Road,2
4495000,1110,Anagalapura Near Hennur Main Road,2
4100000,1000,Anagalapura Near Hennur Main Road,2
4272000,1055,Anagalapura Near Hennur Main Road,2
5797000,1414,Anagalapura Near Hennur Main Road,2
4455000,1100,Anagalapura Near Hennur Main Road,1
4212000,1040,Anagalapura Near Hennur Main Road,2
4407000,1075,Anagalapura Near Hennur Main Road,2
4489000,1095,Anagalapura Near Hennur Main Road,2
4100000,1000,Anagalapura Near Hennur Main Road,2
5797000,1414,Anagalapura Near Hennur Main Road,3
4407000,1075,Anagalapura Near Hennur Main Road,2
4212000,1040,Anagalapura Near Hennur Main Road,2
4455000,1055,Anagalapura Near Hennur Main Road,2
4500000,1334,Anagalapura Near Hennur Main Road,3
6500000,954,Anagalapura Near Hennur Main Road,2
4100000,1465,Ananth Nagar,3
3607000,1110,Anekal City,3
3087000,950,Anekal City,2
3981000,1225,Anekal City,3
3331000,1025,Anekal City,2
2096000,645,Anekal City,1
4237000,1225,Anekal City,3
5243000,520,Anekal City,1
21000000,950,Anekal City,2
4237000,520,Anekal City,1
8400000,1025,Anekal City,2
7840000,645,Anekal City,1
3100000,520,Anekal City,1
3261999,645,Anekal City,1
6700000,645,Anekal City,1
6000000,1025,Anekal City,2
3482000,950,Anekal City,2
4505000,950,Anekal City,2
5750000,520,Anekal City,1
4933000,520,Anekal City,1
3800000,950,Anekal City,2
4500000,645,Anekal City,1
4054000,645,Anekal City,1
3180000,1225,Anekal City,3
2288000,1025,Anekal City,2
8400000,520,Anekal City,1
8400000,520,Anekal City,1
4133000,950,Anekal City,2
3260000,1025,Anekal City,2
6500000,1025,Anekal City,2
4950000,645,Anekal City,1
23000000,645,Anekal City,1
3100000,1025,Anekal City,2
2288000,520,Anekal City,1
6500000,520,Anekal City,1
5900000,1025,Anekal City,2
4000000,520,Anekal City,1
3800000,520,Anekal City,1
7840000,520,Anekal City,1
6528000,1025,Anekal City,2
7038000,1025,Anekal City,2
3100000,520,Anekal City,1
4146000,645,Anekal City,1
8083000,950,Anekal City,2
7900000,520,Anekal City,1
46000000,645,Anekal City,1
3045000,950,Anekal City,2
3116000,645,Anekal City,1
3113000,1025,Anekal City,2
3554000,950,Anekal City,2
6605000,645,Anekal City,1
2969000,950,Anekal City,2
8000000,520,Anekal City,1
3859000,645,Anekal City,1
2745000,950,Anekal City,2
6500000,950,Anekal City,2
8000000,645,Anekal City,1
3859000,950,Anekal City,2
3309000,645,Anekal City,1
7155000,950,Anekal City,2
3779999,1025,Anekal City,2
3800000,520,Anekal City,1
3859000,520,Anekal City,1
3900000,950,Anekal City,2
5058000,520,Anekal City,1
4650000,950,Anekal City,2
270000000,1225,Anekal City,3
6425000,645,Anekal City,1
6014000,950,Anekal City,2
4237000,1225,Anekal City,3
4950000,1225,Anekal City,3
15000000,950,Anekal City,2
7545999,645,Anekal City,1
9300000,1225,Anekal City,3
3100000,950,Anekal City,2
5900000,1025,Anekal City,2
3500000,520,Anekal City,1
23000000,1025,Anekal City,2
9600000,520,Anekal City,1
6000000,520,Anekal City,1
3217000,1225,Anekal City,3
5400000,1025,Anekal City,2
17300000,1225,Anekal City,3
3878000,1225,Anekal City,3
5800000,950,Anekal City,2
9700000,950,Anekal City,2
2899000,1025,Anekal City,2
2899000,645,Anekal City,1
9513000,1025,Anekal City,2
18700000,520,Anekal City,1
